,Name,Season Points,Avg Points/Game
0,Tyree Jackson,227.8181818181818,14.238636363636363
1,Gardner Minshew,183.21052631578948,11.450657894736842
2,Trace McSorley,182.69230769230768,11.41826923076923
3,Jake Browning,154.11111111111111,9.631944444444445
4,Drew Lock,116.22222222222223,7.263888888888889
5,Dwayne Haskins,100.57142857142857,6.285714285714286
6,Easton Stick,97.375,6.0859375
7,Jordan Ta'amu,94.25,5.890625
8,Ryan Finley,83.44444444444444,5.215277777777778
9,Kyle Shurmur,60.4,3.775
10,Brett Rypien,57.5,3.59375
11,Kyler Murray,49.125,3.0703125
12,Clayton Thorson,37.0,2.3125
13,Nick Fitzgerald,32.22222222222222,2.013888888888889
14,Will Grier,12.0,0.75
15,Daniel Jones,0.0,0.0
16,Jarrett Stidham,0.0,0.0
