Year,Player,Pos,School,Height (month lmao),Wt (lbs),40YD (s),Vertical (in),BenchReps,Broad Jump (in),3Cone (s),Shuttle (s)
2018,Logan Woodside,QB,Toledo,6/1/2019,213,4.79,31.5,,103,6.94,4.15
2018,Javon Wims,WR,Georgia,3-Jun,215,4.53,33.5,,113,7,
2018,Cedrick Wilson,WR,Boise St.,2-Jun,197,4.55,37,9,121,6.89,4.23
2018,Darrel Williams,RB,LSU,Jun-00,225,4.72,32,22,109,,4.21
2018,Jordan Wilkins,RB,Mississippi,1-Jun,216,,36,16,117,,4.27
2018,Mike White,QB,Western Kentucky,5-Jun,224,5.09,27,,96,7.4,4.4
2018,Jester Weah,WR,Pittsburgh,2-Jun,211,4.43,38,15,129,7.24,4.41
2018,James Washington,WR,Oklahoma St.,11-May,213,4.54,34.5,14,120,7.11,4.32
2018,Mark Walton,RB,Miami,10-May,202,4.6,31.5,18,118,,
2018,Akrum Wadley,RB,Iowa,10-May,194,4.54,32,12,,,
2018,Marquez Valdes-Scantling,WR,South Florida,4-Jun,206,4.37,30.5,15,124,,
2018,Jordan Thomas,TE,Mississippi St.,5-Jun,265,4.74,27,16,111,7.5,4.75
2018,Ian Thomas,TE,Indiana,4-Jun,259,4.74,36,,123,7.15,4.2
2018,Auden Tate,WR,Florida St.,5-Jun,228,4.68,31,,112,,
2018,Courtland Sutton,WR,SMU,3-Jun,218,4.54,35.5,18,124,6.57,4.11
2018,Equanimeous St. brown,WR,Notre Dame,5-Jun,214,4.48,,20,,,
2018,Durham Smythe,TE,Notre Dame,5-Jun,253,4.81,31,18,110,7.17,4.23
2018,Jaleel Scott,WR,New Mexico St.,5-Jun,218,4.56,34.5,16,124,7.2,4.4
2018,Dalton Schultz,TE,Stanford,5-Jun,244,4.75,32,15,120,7,4.4
2018,Bo Scarbrough,RB,Alabama,1-Jun,228,4.52,40,14,129,,4.34
2018,Jaylen Samuels,TE,North Carolina St.,11-May,225,4.54,34.5,18,121,6.93,4.28
2018,Mason Rudolph,QB,Oklahoma St.,5-Jun,235,4.9,26,,,,
2018,Josh Rosen,QB,UCLA,4-Jun,226,4.92,31,,111,7.09,4.28
2018,Korey Robertson,WR,Southern Miss,1-Jun,212,4.56,34,13,123,,
2018,Calvin Ridley,WR,Alabama,Jun-00,189,4.43,31,15,110,6.88,4.41
2018,Trey Quinn,WR,SMU,11-May,203,4.55,33.5,17,116,6.91,4.19
2018,Byron Pringle,WR,Kansas St.,1-Jun,203,4.46,33.5,15,120,6.87,4.4
2018,Cam Phillips,WR,Virginia Tech,Jun-00,201,,,,,,
2018,Dante Pettis,WR,Washington,Jun-00,186,,,,,,
2018,Rashaad Penny,RB,San Diego St.,11-May,220,4.46,32.5,13,120,,
2018,D.J. Moore,WR,Maryland,Jun-00,210,4.42,39.5,15,132,6.95,4.07
2018,Anthony Miller,WR,Memphis,11-May,201,,,22,,,
2018,Sony Michel,RB,Georgia,11-May,214,4.54,,22,,,4.21
2018,Ray-ray McCloud,WR,Clemson,9-May,190,4.53,34.5,13,113,,
2018,Baker Mayfield,QB,Oklahoma,1-Jun,215,4.84,29,,111,7,4.28
2018,Chase Litton,QB,Marshall,5-Jun,230,4.9,29.5,,106,7.49,4.53
2018,Tanner Lee,QB,Nebraska,4-Jun,218,4.98,32,,115,7,4.41
2018,Allen Lazard,WR,Iowa St.,5-Jun,227,4.55,38,17,122,,
2018,Kyle Lauletta,QB,Richmond,3-Jun,222,4.81,31,,113,6.95,4.07
2018,Jordan Lasley,WR,UCLA,1-Jun,203,4.5,34.5,8,112,,4.19
2018,Christian Kirk,WR,Texas A&M,10-May,201,4.47,35.5,20,115,7.09,4.45
2018,John Kelly,RB,Tennessee,10-May,216,,35,15,120,7.13,4.51
2018,Kerryon Johnson,RB,Auburn,11-May,213,,40,11,126,7.07,4.29
2018,Lamar Jackson,QB,Louisville,2-Jun,216,,,,,,
2018,Justin Jackson,RB,Northwestern,Jun-00,199,4.52,38.5,13,122,6.81,4.07
2018,Ryan Izzo,TE,Florida St.,5-Jun,256,4.94,33,18,110,7.15,4.43
2018,Hayden Hurst,TE,South Carolina,4-Jun,250,4.67,31.5,,120,7.19,4.37
2018,Nyheim Hines,RB,North Carolina St.,8-May,198,4.38,35.5,,119,7.18,4.35
2018,Quadree Henderson,WR,Pittsburgh,8-May,192,4.5,32.5,12,120,6.89,4.28
2018,Daesean Hamilton,WR,Penn St.,1-Jun,203,,34.5,,118,6.84,4.15
2018,Derrius Guice,RB,LSU,10-May,224,4.49,31.5,15,,,
2018,Dallas Goedert,TE,South Dakota St.,5-Jun,256,,,23,,,
2018,Mike Gesicki,TE,Penn St.,5-Jun,247,4.54,41.5,22,129,6.76,4.1
2018,Michael Gallup,WR,Colorado St.,1-Jun,205,4.51,36,10,122,6.95,4.37
2018,Troy Fumagalli,TE,Wisconsin,5-Jun,247,,,14,,,
2018,Royce Freeman,RB,Oregon,11-May,229,4.54,34,17,118,6.9,4.16
2018,Jarvion Franklin,RB,Western Michigan,11-May,239,4.63,30,18,109,6.93,4.31
2018,Dimitri Flowers,RB,Oklahoma,2-Jun,248,4.83,30.5,17,109,7.45,4.53
2018,Riley Ferguson,QB,Memphis,3-Jun,212,4.98,29,,110,6.96,4.4
2018,Luke Falk,QB,Washington St.,4-Jun,215,,26.5,,103,,
2018,Danny Etling,QB,LSU,2-Jun,222,4.76,30.5,,114,7.09,4.37
2018,Chase Edmonds,RB,Fordham,9-May,205,4.55,34,19,122,6.79,4.07
2018,Will Dissly,TE,Washington,4-Jun,262,4.87,28,15,111,7.07,4.4
2018,Sam Darnold,QB,USC,3-Jun,221,4.85,26.5,,105,6.96,4.4
2018,Keke Coutee,WR,Texas Tech,10-May,181,4.43,34.5,14,113,6.93,4.15
2018,Tyler Conklin,TE,Central Michigan,3-Jun,254,4.8,38,18,120,7.13,4.23
2018,Simmie Cobbs,WR,Indiana,3-Jun,220,4.64,30,11,113,6.7,4.32
2018,Nick Chubb,RB,Georgia,11-May,227,4.52,38.5,29,128,7.09,4.25
2018,Daniel Carlson,K,Auburn,5-Jun,213,,,,,,
2018,Dylan Cantrell,WR,Texas Tech,3-Jun,226,4.59,38.5,18,130,6.56,4.03
2018,Antonio Callaway,WR,Florida,11-May,200,4.41,34,,121,,
2018,Deon Cain,WR,Clemson,2-Jun,202,4.43,33.5,11,115,6.71,4.37
2018,Deontay Burnett,WR,USC,Jun-00,186,,,,,,
2018,Braxton Berrios,WR,Miami,9-May,184,,,11,,,
2018,Kurt Benkert,QB,Virginia,3-Jun,218,4.95,31,16,112,7.15,4.33
2018,Nick Bawden,FB,San Diego St.,2-Jun,245,,,,,,
2018,Marcus Baugh,TE,Ohio St.,3-Jun,247,4.81,33,,117,7.28,4.51
2018,J.T. Barrett,QB,Ohio St.,1-Jun,224,4.7,30,,108,7.38,4.44
2018,Saquon Barkley,RB,Penn St.,Jun-00,233,4.4,41,29,,,4.24
2018,Kalen Ballage,RB,Arizona State,1-Jun,228,4.46,33.5,15,122,6.91,4.35
2018,Marcell Ateman,WR,Oklahoma St.,4-Jun,216,4.62,34,13,121,7.07,4.25
2018,Mark Andrews,TE,Oklahoma,5-Jun,256,4.67,31,17,113,7.34,4.38
2018,Josh Allen,QB,Wyoming,5-Jun,237,4.75,33.5,,119,6.9,4.4
2018,Jordan Akins,TE,Central Florida,3-Jun,249,,,,,,
2018,Josh Adams,RB,Notre Dame,2-Jun,213,,,18,,,
2018,Jeff Wilson,RB,North Texas,11-May,210,,,15,,,
2018,Jake Wieneke,WR,South Dakota St.,4-Jun,221,4.67,34,9,114,7.24,4.37
2018,Karaun White,WR,West Virginia,1-Jun,206,4.52,33.5,24,118,7.16,4.57
2018,David Wells,TE,San Diego St.,6-Jun,256,4.75,33,20,116,7.5,4.59
2018,Chris Warren,RB,Texas,2-Jun,247,4.69,33,25,121,6.98,4.18
2018,Roc Thomas,RB,Jacksonville St.,10-May,198,4.56,35.5,16,125,,
2018,Trequan Smith,WR,Central Florida,2-Jun,203,4.49,37.5,12,130,6.97,4.5
2018,Nic Shimonek,QB,Texas Tech,3-Jun,220,4.88,28.5,,101,7.28,4.32
2018,Demario Richard,RB,Arizona State,9-May,218,4.7,29.5,12,115,,
2018,Eddy Pineiro,K,Florida,Jun-00,185,,,,,,
2018,Kamryn Pettway,RB,Auburn,Jun-00,233,4.74,33.5,22,116,,
2018,Ryan Nall,RB,Oregon St.,2-Jun,232,4.58,33,15,122,6.95,4.16
2018,Jmon Moore,WR,Missouri,3-Jun,207,4.6,38,21,120,6.56,4.04
2018,Steven Mitchell,WR,USC,10-May,189,4.56,32.5,13,121,6.75,4.4
2018,Tavares Martin,WR,Washington St.,1-Jun,177,4.8,31.5,,,,
2018,Chris Lacy,WR,Oklahoma St.,3-Jun,205,4.51,33.5,11,120,,
2018,Ronald Jones,RB,USC,11-May,205,4.65,36.5,,,,
2018,Richie James,WR,Middle Tennessee St.,10-May,183,4.48,35.5,6,122,6.87,4.16
2018,Kyle Hicks,RB,TCU,10-May,204,4.63,36.5,13,122,,
2018,Chris Herndon,TE,Miami,4-Jun,253,,,21,,,
2018,Davon Grayson,WR,East Carolina,1-Jun,199,4.51,34.5,19,124,,
2018,Robert Foster,WR,Alabama,2-Jun,196,4.41,31,,116,6.9,4.2
2018,Quinton Flowers,QB,South Florida,10-May,214,4.63,,,112,6.81,4.57
2018,Donnie Ernsberger,RB,Western Michigan,3-Jun,241,4.78,31,15,114,7.09,4.34
2018,Justin Crawford,RB,West Virginia,11-May,199,4.64,33.5,11,122,,
2018,Lavon Coleman,RB,Washington,11-May,215,4.65,33,23,120,,
2018,D.J. Chark,WR,LSU,3-Jun,199,4.34,40,16,129,,
2017,Jesus Wilson,WR,Florida State,9-May,189,4.57,,10,119,,4.57
2017,Stanley Williams,RB,Kentucky,7-May,190,4.51,36,18,121,6.86,4.18
2017,Mike Williams,WR,Clemson,4-Jun,218,,32.5,15,121,,
2017,Joe Williams,RB,Utah,11-May,210,4.41,35,14,125,7.19,4.19
2017,Jamaal Williams,RB,Brigham Young,Jun-00,212,4.59,30,,123,7.25,4.53
2017,Kermit Whitfield,WR,Florida State,8-May,185,4.44,32.5,8,120,7.17,4.37
2017,Dede Westbrook,WR,Oklahoma,Jun-00,178,,,,,,
2017,Davis Webb,QB,California,5-Jun,229,4.79,33,,118,6.92,4.21
2017,Deshaun Watson,QB,Clemson,2-Jun,221,4.66,32.5,,119,6.95,4.31
2017,Greg Ward Jr.,WR,Houston,11-May,186,,,10,,,
2017,Conrad Ukropina,K,Stanford,Jun-00,190,,,,,,
2017,Mitchell Trubisky,QB,North Carolina,2-Jun,222,4.67,27.5,,116,6.87,4.25
2017,Noel Thomas,WR,Connecticut,Jun-00,205,4.63,32.5,9,118,,
2017,Jahad Thomas,RB,Temple,10-May,190,4.62,32,11,116,,
2017,Trent Taylor,WR,Louisiana Tech,8-May,181,4.63,33,13,117,6.74,4.01
2017,Taywan Taylor,WR,Western Kentucky,11-May,203,4.5,33.5,13,132,6.57,4.21
